"Permission","Method","Endpoint","ApiVersion"
"accessReviewDecisions.accessReviewDecision","DELETE","/accessReviewDecisions/{accessReviewDecision-id}","beta"
"accessReviewDecisions.accessReviewDecision","GET","/accessReviewDecisions","beta"
"accessReviewDecisions.accessReviewDecision","GET","/accessReviewDecisions/{accessReviewDecision-id}","beta"
"accessReviewDecisions.accessReviewDecision","PATCH","/accessReviewDecisions/{accessReviewDecision-id}","beta"
"accessReviewDecisions.accessReviewDecision","POST","/accessReviewDecisions","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}/instances/{accessReview-id1}","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","DELETE","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReview","GET","/accessReviews","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReview","GET","/accessReviews/{accessReview-id}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}/instances/{accessReview-id1}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReview","PATCH","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReview","POST","/accessReviews","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/applyDecisions","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/decisions","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/myDecisions","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/resetDecisions","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/reviewers","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/sendReminder","beta"
"accessReviews.accessReview","POST","/accessReviews/{accessReview-id}/instances/{accessReview-id1}/stop","beta"
"accessReviews.accessReview.Actions","POST","/accessReviews/{accessReview-id}/applyDecisions","beta"
"accessReviews.accessReview.Actions","POST","/accessReviews/{accessReview-id}/resetDecisions","beta"
"accessReviews.accessReview.Actions","POST","/accessReviews/{accessReview-id}/sendReminder","beta"
"accessReviews.accessReview.Actions","POST","/accessReviews/{accessReview-id}/stop","beta"
"accessReviews.accessReviewDecision","DELETE","/accessReviews/{accessReview-id}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","DELETE","/accessReviews/{accessReview-id}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","GET","/accessReviews/{accessReview-id}/decisions","beta"
"accessReviews.accessReviewDecision","GET","/accessReviews/{accessReview-id}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","GET","/accessReviews/{accessReview-id}/myDecisions","beta"
"accessReviews.accessReviewDecision","GET","/accessReviews/{accessReview-id}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","PATCH","/accessReviews/{accessReview-id}/decisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","PATCH","/accessReviews/{accessReview-id}/myDecisions/{accessReviewDecision-id}","beta"
"accessReviews.accessReviewDecision","POST","/accessReviews/{accessReview-id}/decisions","beta"
"accessReviews.accessReviewDecision","POST","/accessReviews/{accessReview-id}/myDecisions","beta"
"accessReviews.accessReviewReviewer","DELETE","/accessReviews/{accessReview-id}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReviewReviewer","GET","/accessReviews/{accessReview-id}/reviewers","beta"
"accessReviews.accessReviewReviewer","GET","/accessReviews/{accessReview-id}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReviewReviewer","PATCH","/accessReviews/{accessReview-id}/reviewers/{accessReviewReviewer-id}","beta"
"accessReviews.accessReviewReviewer","POST","/accessReviews/{accessReview-id}/reviewers","beta"
"activitystatistics.activityStatistics","DELETE","/activitystatistics/{activityStatistics-id}","beta"
"activitystatistics.activityStatistics","GET","/activitystatistics","beta"
"activitystatistics.activityStatistics","GET","/activitystatistics/{activityStatistics-id}","beta"
"activitystatistics.activityStatistics","PATCH","/activitystatistics/{activityStatistics-id}","beta"
"activitystatistics.activityStatistics","POST","/activitystatistics","beta"
"admin.admin","GET","/admin","beta"
"admin.admin","GET","/admin","v1.0"
"admin.admin","PATCH","/admin","beta"
"admin.admin","PATCH","/admin","v1.0"
"admin.adminAppsAndServices","DELETE","/admin/appsAndServices","beta"
"admin.adminAppsAndServices","GET","/admin/appsAndServices","beta"
"admin.adminAppsAndServices","PATCH","/admin/appsAndServices","beta"
"admin.adminDynamics","DELETE","/admin/dynamics","beta"
"admin.adminDynamics","GET","/admin/dynamics","beta"
"admin.adminDynamics","PATCH","/admin/dynamics","beta"
"admin.adminForms","DELETE","/admin/forms","beta"
"admin.adminForms","GET","/admin/forms","beta"
"admin.adminForms","PATCH","/admin/forms","beta"
"admin.adminMicrosoft365Apps","DELETE","/admin/microsoft365Apps","beta"
"admin.adminMicrosoft365Apps","DELETE","/admin/microsoft365Apps","v1.0"
"admin.adminMicrosoft365Apps","DELETE","/admin/microsoft365Apps/installationOptions","beta"
